School,Name,Role,LinkedIn
PM SHRI KENDRIYA VIDYALAYA,PM SHRI KENDRIYA VIDYALAYA No.6 JAIPUR,Principal,https://in.linkedin.com/in/pm-shri-kendriya-vidyalaya-no-6-jaipur-a33b443a4
SUNSHINE WLDWIDE SECONDARY SCHOOL,Anil Kashyap,Principal,https://in.linkedin.com/in/anil-kashyap-0926a618
GREEN MEADOWS SCHOOL,Deborah Thompson,Principal,https://www.linkedin.com/in/deborah-thompson-47a4a147
FR. AGNEL CENTRAL SCHOOL,Sreeja Kharola,Principal,https://in.linkedin.com/in/sreeja-kharola-5414a0194
PODAR INTERNATIONAL SCHOOL,Dr. Vandana Lulla,Principal,https://in.linkedin.com/in/dr-mrs-vandana-lulla
JAWAHAR NAVODAYA VIDYALAYA,Bipin Kumar,Principal,https://in.linkedin.com/in/bipin-kumar-93b38b227
THE KINGS SCHOOL,Ligia Pereira,Principal,https://in.linkedin.com/in/ligia-pereira-5b0296191
VIDYA VIKAS ACADEMY,Sheetal Kumar,Principal,https://in.linkedin.com/in/sheetal-kumar-382985119
MOUNT LITERA ZEE SCHOOL,Shipra Bahl,Principal,https://in.linkedin.com/in/shipra-bahl-726175199
BHARATIYA VIDYA BHAVANS NARAYAN BANDEKAR SCHOOL,Juliet Rodriguez,Unknown,https://in.linkedin.com/in/juliet-rodriguez-867959200
BLOOMZ INTERNATIONAL SCHOOL,Anju Anand Bloomz International School,Principal,https://in.linkedin.com/in/anju-anand-bloomz-international-school-532225322
PM SHRI SCHOOL JAWAHAR NAVODAYA VIDYALAYA,,Principal,https://in.linkedin.com/in/principal-pm-shri-jnv-una-016a0068
NAVY CHILDREN SCHOOL,Dr. Nellie Paul Verghese,Principal,https://in.linkedin.com/in/drnellie
