School,Name,Role,LinkedIn
The Tribune Model School Chandigarh,Vandana Saxena,Principal,https://in.linkedin.com/in/vandanasaxena5801
Strawberry Fields High School Chandigarh,Shabnam Singha,Vice Principal,https://in.linkedin.com/in/shabnam-singha-1a693411
St John’s High School Chandigarh,KAVITA CHATTERJEE DAS,Principal,https://in.linkedin.com/in/kavita-chatterjee-das-943a01220
Sacred Heart Senior Secondary School Chandigarh,indu nair,Principal,https://in.linkedin.com/in/indu-nair-3b18641b
Bhavan Vidyalaya Chandigarh,Gulshan Kaur,Principal,https://in.linkedin.com/in/gulshan-kaur-697b5b205
Delhi Public School Chandigarh,Samson Masih,Principal,https://in.linkedin.com/in/samson-masih-601549a
Chitkara International School Chandigarh,Dr. Niyati Chitkara,Principal,https://in.linkedin.com/in/drniyatichitkara
Saupin's School Chandigarh,Jayeta Auddy,Principal,https://in.linkedin.com/in/jayeta-auddy-1734177b
Vivek High School Chandigarh,RENU PURI,Principal,https://in.linkedin.com/in/renu-puri-79268915
Guru Nanak Public School Chandigarh,SHIKHA GUPTA,Principal,https://in.linkedin.com/in/shikha-gupta-49770463
St Stephen’s School Chandigarh,Anamika Dutta,Principal,https://in.linkedin.com/in/anamika-dutta-48a385195
Kendriya Vidyalaya Sector 31 Chandigarh,M L AGRAWAL,Principal,https://in.linkedin.com/in/m-l-agrawal-4a928438
Kendriya Vidyalaya 3BRD Chandigarh,medha upadhyaya,Principal,https://in.linkedin.com/in/medha-upadhyaya-93a710a8
Mount Carmel School Chandigarh,Jaskamal Kaur Jatana,PE Teacher,https://in.linkedin.com/in/jaskamal-kaur-jatana-b6570a1a5
St Soldier International Convent School Chandigarh,Harsimrat Chahal,Vice Principal,https://in.linkedin.com/in/harsimrat-chahal-09b19934b
Learning Paths School Chandigarh,Shagun Cheema,Principal,https://in.linkedin.com/in/shagun-cheema-15a656100
Ryan International School Chandigarh,Rosy Bhatia,Principal,https://in.linkedin.com/in/rosy-bhatia-304814203
Doon International School Chandigarh,Dr. Panchanan Tripathy,Principal,https://in.linkedin.com/in/dr-panchanan-tripathy-025a3616b
Hallmark Public School Chandigarh,Kavita Wadhwa,Principal,https://in.linkedin.com/in/kavita-wadhwa-669b1a15
The New Public School Chandigarh,Manish Hablani,Principal,https://in.linkedin.com/in/manish-hablani-85168624
Ashiana Public School Chandigarh,Chandra Parkash,Director,https://in.linkedin.com/in/chandra-parkash-320abb29
Manav Mangal School Chandigarh,Manisha Raj,Head,https://in.linkedin.com/in/manisha-raj-4344aa124
